Engineering Discipline,Years of Experience,Location,Company,Salary (INR),Category
Service Engineer,2,Pune,Cognizant,394037,Service
Engineer,5,Pune,Microsoft,612309,Product
Engineer,7,Chennai,Capgemini,847803,Service
Engineer,8,Noida,Accenture,923938,Consulting
Senior Engineer,10,Chennai,Capgemini,1216060,Service
Engineer,9,Chennai,Capgemini,920257,Service
Engineer,5,Pune,Accenture,725411,Consulting
Engineer,6,Bangalore,Capgemini,685887,Service
Engineer,6,Chennai,HCL,852775,Service
Service Engineer,7,Pune,Infosys,831065,Service
Senior Engineer,12,Pune,Startup,1300000,Startup
Senior Engineer,14,Bangalore,L&T,1207057,Intenship
Service Engineer,14,Gurgaon,Cognizant,1271991,Service
Software Engineer,11,Chennai,Google,1194989,Product
Engineer,5,Noida,HCL,595433,Service
Service Engineer,7,Gurgaon,Infosys,878186,Service
Senior Engineer,12,Bangalore,Accenture,1252722,Consulting
Engineer,4,Gurgaon,IBM,617300,Product
Engineer,5,Delhi,Accenture,779144,Consulting
Service Engineer,0,Mumbai,Wipro,268220,Service
Service Engineer,15,Mumbai,TCS,1300000,Service
Engineer,8,Pune,Google,839206,Product
Senior Engineer,13,Delhi,Tech Mahindra,1300000,Service
Junior Engineer,1,Pune,Capgemini,436302,Service
Service Engineer,2,Delhi,Infosys,409849,Service
Junior Engineer,0,Delhi,Startup,302686,Startup
Engineer,5,Delhi,IBM,723940,Product
Senior Engineer,13,Chennai,Capgemini,1300000,Service
Service Engineer,8,Bangalore,Wipro,899741,Service
Senior Engineer,11,Noida,HCL,1289228,Service
Software Engineer,9,Delhi,Amazon,1050878,Product
Engineer,7,Gurgaon,HCL,821841,Service
Service Engineer,12,Pune,TCS,1072896,Service
Senior Engineer,15,Pune,IBM,1300000,Product
Junior Engineer,2,Bangalore,Capgemini,456598,Service
Service Engineer,1,Chennai,Infosys,335380,Service
Service Engineer,10,Noida,TCS,1238584,Service
Senior Engineer,12,Hyderabad,Capgemini,1300000,Service
Engineer,3,Gurgaon,Amazon,587726,Product
Engineer,3,Noida,HCL,461007,Service
Engineer,5,Chennai,Accenture,615976,Consulting
Service Engineer,13,Noida,Infosys,1300000,Service
Engineer,6,Gurgaon,Startup,762995,Startup
Service Engineer,11,Delhi,TCS,1173206,Service
Engineer,6,Gurgaon,HCL,687414,Service
Engineer,6,Bangalore,Accenture,811289,Consulting
Software Engineer,15,Gurgaon,Microsoft,1293328,Product
Service Engineer,11,Chennai,Cognizant,1300000,Service
Service Engineer,11,Chennai,TCS,1300000,Service
Engineer,3,Mumbai,Amazon,549858,Product
Service Engineer,12,Hyderabad,Wipro,1114438,Service
Service Engineer,12,Gurgaon,Cognizant,1074211,Service
Senior Engineer,15,Bangalore,Startup,1300000,Startup
Software Engineer,12,Mumbai,Google,1300000,Product
Software Engineer,10,Pune,Amazon,1141237,Product
Junior Engineer,0,Gurgaon,Google,268168,Product
Software Engineer,13,Noida,Microsoft,1180609,Product
Engineer,7,Pune,IBM,957412,Product
Senior Engineer,14,Bangalore,Capgemini,1300000,Service
Service Engineer,12,Pune,TCS,1166587,Service
Service Engineer,13,Noida,Cognizant,1300000,Service
Engineer,3,Pune,IBM,569258,Product
Engineer,4,Delhi,Amazon,559566,Product
Engineer,6,Pune,Accenture,681038,Consulting
Senior Engineer,15,Gurgaon,L&T,1300000,Others
Service Engineer,3,Chennai,TCS,476447,Service
Service Engineer,11,Delhi,Infosys,1293952,Service
Senior Engineer,15,Noida,Startup,1300000,Startup
Service Engineer,6,Delhi,Wipro,838489,Service
Engineer,8,Bangalore,Capgemini,1056436,Service
Service Engineer,2,Mumbai,TCS,437566,Service
Engineer,5,Chennai,Microsoft,751333,Product
Senior Engineer,11,Gurgaon,Tech Mahindra,1053475,Service
Service Engineer,15,Hyderabad,Infosys,1300000,Service
Senior Engineer,13,Gurgaon,IBM,1300000,Product
Senior Engineer,14,Hyderabad,Startup,1300000,Startup
Junior Engineer,1,Chennai,L&T,366259,Others
Senior Engineer,14,Delhi,IBM,1300000,Product
Service Engineer,15,Chennai,TCS,1300000,Service
Service Engineer,9,Delhi,Infosys,981716,Service
Engineer,6,Gurgaon,L&T,669394,Intenship
Service Engineer,13,Pune,Infosys,1300000,Service
Service Engineer,9,Delhi,Cognizant,953555,Service
Service Engineer,7,Hyderabad,Infosys,885297,Service
Senior Engineer,11,Pune,HCL,1068985,Service
Engineer,3,Gurgaon,HCL,596054,Service
Senior Engineer,15,Hyderabad,Tech Mahindra,1300000,Service
Junior Engineer,1,Chennai,Tech Mahindra,361334,Service
Engineer,3,Delhi,Accenture,572209,Consulting
Service Engineer,0,Mumbai,TCS,343102,Service
Senior Engineer,11,Chennai,Tech Mahindra,1251855,Service
Service Engineer,3,Gurgaon,TCS,555088,Service
Software Engineer,15,Noida,Google,1300000,Product
Senior Engineer,14,Delhi,L&T,1300000,Intenship
Service Engineer,9,Bangalore,Wipro,984307,Service
Engineer,4,Chennai,Startup,624761,Startup
Software Engineer,13,Hyderabad,Amazon,1300000,Product
Junior Engineer,1,Noida,Startup,327293,Startup
Engineer,6,Bangalore,Amazon,738004,Product
Software Engineer,13,Gurgaon,Amazon,1300000,Product
Engineer,7,Noida,Tech Mahindra,958409,Service
Junior Engineer,1,Delhi,Microsoft,381916,Product
Senior Engineer,14,Bangalore,L&T,1300000,Others
Software Engineer,13,Delhi,Amazon,1253275,Product
Engineer,3,Bangalore,L&T,459419,Others
Engineer,8,Hyderabad,Tech Mahindra,926344,Service
Senior Engineer,10,Mumbai,IBM,982909,Product
Senior Engineer,10,Delhi,HCL,990093,Service
Engineer,7,Noida,HCL,897672,Service
Service Engineer,5,Pune,Cognizant,702817,Service
Engineer,7,Delhi,Accenture,792985,Consulting
Senior Engineer,15,Noida,HCL,1300000,Service
Engineer,7,Delhi,Accenture,774161,Consulting
Senior Engineer,10,Hyderabad,Capgemini,982697,Service
Service Engineer,7,Chennai,Cognizant,893479,Service
Engineer,6,Gurgaon,Accenture,721787,Consulting
Service Engineer,8,Delhi,Cognizant,932085,Service
Senior Engineer,14,Pune,HCL,1300000,Service
Engineer,9,Pune,Amazon,956743,Product
Engineer,7,Mumbai,Tech Mahindra,939113,Service
Service Engineer,15,Pune,Infosys,1300000,Service
Engineer,3,Chennai,Startup,566073,Startup
Engineer,9,Hyderabad,Startup,1076464,Startup
Service Engineer,6,Bangalore,Cognizant,725597,Service
Service Engineer,1,Hyderabad,Wipro,392364,Service
Service Engineer,8,Chennai,TCS,1008491,Service
Senior Engineer,12,Chennai,Capgemini,1270254,Service
Engineer,9,Noida,Capgemini,906737,Service
Service Engineer,10,Delhi,Cognizant,1002070,Service
Senior Engineer,14,Noida,Accenture,1249538,Consulting
Engineer,9,Delhi,Google,870592,Product
Senior Engineer,13,Mumbai,Startup,1300000,Startup
Software Engineer,14,Gurgaon,Google,1300000,Product
Engineer,7,Chennai,Google,734581,Product
Senior Engineer,15,Noida,IBM,1300000,Product
Senior Engineer,15,Bangalore,Accenture,1300000,Consulting
Senior Engineer,11,Delhi,Accenture,1288783,Consulting
Engineer,7,Chennai,IBM,909629,Product
Junior Engineer,0,Noida,Accenture,308519,Consulting
Junior Engineer,1,Mumbai,Startup,326589,Startup
Engineer,7,Hyderabad,Google,847444,Product
Senior Engineer,10,Bangalore,L&T,1054283,Intenship
Service Engineer,9,Delhi,Cognizant,1091507,Service
Junior Engineer,2,Hyderabad,Accenture,398215,Consulting
Service Engineer,9,Pune,TCS,1122243,Service
Junior Engineer,1,Hyderabad,Tech Mahindra,360702,Service
Senior Engineer,10,Hyderabad,Capgemini,1057615,Service
Engineer,3,Hyderabad,L&T,544734,Others
Engineer,7,Noida,L&T,819857,Intenship
Senior Engineer,10,Noida,Amazon,952093,Product
Junior Engineer,1,Noida,Startup,369268,Startup
Senior Engineer,12,Delhi,L&T,1196606,Intenship
Junior Engineer,2,Noida,L&T,488833,Intenship
Service Engineer,3,Delhi,Infosys,537898,Service
Software Engineer,2,Chennai,HCL,1300000,Service
Software Engineer,11,Chennai,Cognizant,1300000,Service
Software Engineer,11,Hyderabad,Microsoft,1300000,Product
Software Engineer,7,Hyderabad,Startup,1300000,Startup
Software Engineer,9,Hyderabad,HCL,1300000,Service
Software Engineer,8,Delhi,TCS,1300000,Service
Software Engineer,1,Mumbai,TCS,1300000,Service
Software Engineer,9,Mumbai,Accenture,1300000,Consulting
Software Engineer,7,Chennai,Tech Mahindra,1300000,Service
Software Engineer,12,Noida,Amazon,1300000,Product
Software Engineer,2,Mumbai,Cognizant,1300000,Service
Software Engineer,4,Gurgaon,Amazon,1300000,Product
Software Engineer,2,Noida,Capgemini,1300000,Service
Software Engineer,1,Mumbai,Startup,1300000,Startup
Software Engineer,8,Chennai,L&T,1300000,Intenship
Software Engineer,7,Delhi,Amazon,1300000,Product
Software Engineer,8,Mumbai,L&T,1300000,Intenship
Software Engineer,14,Hyderabad,Tech Mahindra,1300000,Service
Software Engineer,4,Noida,Capgemini,1300000,Service
Software Engineer,5,Bangalore,Wipro,1300000,Service
Software Engineer,6,Delhi,Google,1300000,Product
Software Engineer,5,Hyderabad,L&T,1300000,Intenship
Software Engineer,0,Mumbai,Amazon,1300000,Product
Software Engineer,3,Delhi,Google,1300000,Product
Software Engineer,10,Mumbai,Wipro,1300000,Service
Aeronautical Engineering,7,Gurgaon,Cognizant,1300000,Service
Aeronautical Engineering,0,Pune,L&T,1300000,Others
Aeronautical Engineering,1,Chennai,Microsoft,1300000,Product
Aeronautical Engineering,10,Pune,Capgemini,1300000,Service
Aeronautical Engineering,3,Delhi,L&T,1300000,Intenship
Aeronautical Engineering,6,Gurgaon,IBM,1300000,Product
Aeronautical Engineering,12,Mumbai,IBM,1300000,Product
Aeronautical Engineering,12,Bangalore,TCS,1300000,Service
Aeronautical Engineering,5,Delhi,Microsoft,1300000,Product
Aeronautical Engineering,14,Bangalore,L&T,1300000,Others
Aeronautical Engineering,0,Delhi,L&T,1300000,Intenship
Aeronautical Engineering,5,Chennai,Amazon,1300000,Product
Aeronautical Engineering,8,Chennai,Startup,1300000,Startup
Aeronautical Engineering,1,Mumbai,Wipro,1300000,Service
Aeronautical Engineering,15,Chennai,Wipro,1300000,Service
Aeronautical Engineering,8,Mumbai,IBM,1300000,Product
Aeronautical Engineering,4,Noida,Capgemini,1300000,Service
Aeronautical Engineering,5,Pune,Accenture,1300000,Consulting
Aeronautical Engineering,0,Chennai,Wipro,1300000,Service
Aeronautical Engineering,4,Bangalore,Infosys,1300000,Service
Aeronautical Engineering,0,Delhi,Microsoft,1300000,Product
Aeronautical Engineering,11,Bangalore,Google,1300000,Product
Aeronautical Engineering,2,Delhi,L&T,1300000,Others
Aeronautical Engineering,15,Hyderabad,Infosys,1300000,Service
Aeronautical Engineering,11,Bangalore,HCL,1300000,Service
Aerospace Engineering,1,Chennai,HCL,1300000,Service
Aerospace Engineering,14,Noida,Cognizant,1300000,Service
Aerospace Engineering,13,Bangalore,TCS,1300000,Service
Aerospace Engineering,14,Chennai,Infosys,1300000,Service
Aerospace Engineering,0,Pune,TCS,1300000,Service
Aerospace Engineering,0,Pune,Google,1300000,Product
Aerospace Engineering,13,Mumbai,HCL,1300000,Service
Aerospace Engineering,9,Hyderabad,Capgemini,1300000,Service
Aerospace Engineering,7,Delhi,Startup,1300000,Startup
Aerospace Engineering,2,Mumbai,TCS,1300000,Service
Aerospace Engineering,2,Hyderabad,Capgemini,1300000,Service
Aerospace Engineering,6,Mumbai,TCS,1300000,Service
Aerospace Engineering,2,Noida,Startup,1300000,Startup
Aerospace Engineering,3,Delhi,Wipro,1300000,Service
Aerospace Engineering,13,Chennai,Infosys,1300000,Service
Aerospace Engineering,7,Noida,L&T,1300000,Intenship
Aerospace Engineering,10,Delhi,TCS,1300000,Service
Aerospace Engineering,4,Gurgaon,HCL,1300000,Service
Aerospace Engineering,2,Bangalore,Startup,1300000,Startup
Aerospace Engineering,9,Chennai,Infosys,1300000,Service
Aerospace Engineering,6,Pune,HCL,1300000,Service
Aerospace Engineering,4,Mumbai,IBM,1300000,Product
Aerospace Engineering,13,Bangalore,Infosys,1300000,Service
Aerospace Engineering,3,Noida,Cognizant,1300000,Service
Aerospace Engineering,0,Mumbai,Capgemini,1300000,Service
Computer Science Engineering,7,Noida,L&T,1300000,Intenship
Computer Science Engineering,12,Bangalore,Capgemini,1300000,Service
Computer Science Engineering,1,Noida,L&T,1300000,Intenship
Computer Science Engineering,0,Mumbai,Google,1300000,Product
Computer Science Engineering,10,Bangalore,Amazon,1300000,Product
Computer Science Engineering,4,Delhi,L&T,1300000,Intenship
Computer Science Engineering,4,Noida,TCS,1300000,Service
Computer Science Engineering,1,Noida,HCL,1300000,Service
Computer Science Engineering,11,Bangalore,L&T,1300000,Others
Computer Science Engineering,8,Noida,Accenture,1300000,Consulting
Computer Science Engineering,12,Bangalore,Cognizant,1300000,Service
Computer Science Engineering,13,Hyderabad,Cognizant,1300000,Service
Computer Science Engineering,1,Chennai,Startup,1300000,Startup
Computer Science Engineering,7,Noida,TCS,1300000,Service
Computer Science Engineering,2,Gurgaon,Wipro,1300000,Service
Computer Science Engineering,12,Pune,IBM,1300000,Product
Computer Science Engineering,5,Delhi,IBM,1300000,Product
Computer Science Engineering,2,Bangalore,Cognizant,1300000,Service
Computer Science Engineering,2,Noida,Infosys,1300000,Service
Computer Science Engineering,5,Pune,Microsoft,1300000,Product
Computer Science Engineering,15,Mumbai,Google,1300000,Product
Computer Science Engineering,11,Hyderabad,L&T,1300000,Others
Computer Science Engineering,13,Mumbai,Amazon,1300000,Product
Computer Science Engineering,10,Noida,Google,1300000,Product
Computer Science Engineering,0,Delhi,Accenture,1300000,Consulting
Civil Engineering,5,Chennai,Amazon,1300000,Product
Civil Engineering,15,Noida,IBM,1300000,Product
Civil Engineering,15,Delhi,Capgemini,1300000,Service
Civil Engineering,5,Delhi,IBM,1300000,Product
Civil Engineering,15,Bangalore,Tech Mahindra,1300000,Service
Civil Engineering,2,Delhi,Startup,1300000,Startup
Civil Engineering,4,Gurgaon,Cognizant,1300000,Service
Civil Engineering,1,Delhi,TCS,1300000,Service
Civil Engineering,7,Hyderabad,Google,1300000,Product
Civil Engineering,3,Gurgaon,L&T,1300000,Intenship
Civil Engineering,8,Delhi,Microsoft,1300000,Product
Civil Engineering,8,Hyderabad,Microsoft,1300000,Product
Civil Engineering,10,Hyderabad,Accenture,1300000,Consulting
Civil Engineering,10,Bangalore,HCL,1300000,Service
Civil Engineering,9,Pune,Capgemini,1300000,Service
Civil Engineering,5,Delhi,Cognizant,1300000,Service
Civil Engineering,10,Pune,L&T,1300000,Intenship
Civil Engineering,2,Pune,Tech Mahindra,1300000,Service
Civil Engineering,4,Mumbai,Google,1300000,Product
Civil Engineering,7,Mumbai,HCL,1300000,Service
Civil Engineering,5,Hyderabad,Amazon,1300000,Product
Civil Engineering,14,Mumbai,Amazon,1300000,Product
Civil Engineering,7,Bangalore,TCS,1300000,Service
Civil Engineering,12,Pune,Startup,1300000,Startup
Civil Engineering,10,Mumbai,Infosys,1300000,Service
Mechanical Engineer,1,Chennai,Google,1300000,Product
Mechanical Engineer,10,Bangalore,Google,1300000,Product
Mechanical Engineer,15,Noida,HCL,1300000,Service
Mechanical Engineer,13,Pune,Amazon,1300000,Product
Mechanical Engineer,13,Delhi,TCS,1300000,Service
Mechanical Engineer,13,Chennai,Wipro,1300000,Service
Mechanical Engineer,10,Mumbai,Tech Mahindra,1300000,Service
Mechanical Engineer,12,Hyderabad,L&T,1300000,Intenship
Mechanical Engineer,2,Noida,Cognizant,1300000,Service
Mechanical Engineer,0,Pune,Microsoft,1300000,Product
Mechanical Engineer,0,Hyderabad,TCS,1300000,Service
Mechanical Engineer,15,Gurgaon,L&T,1300000,Others
Mechanical Engineer,2,Bangalore,Cognizant,1300000,Service
Mechanical Engineer,3,Mumbai,Microsoft,1300000,Product
Mechanical Engineer,3,Gurgaon,IBM,1300000,Product
Mechanical Engineer,14,Delhi,Startup,1300000,Startup
Mechanical Engineer,11,Gurgaon,Amazon,1300000,Product
Mechanical Engineer,2,Bangalore,Wipro,1300000,Service
Mechanical Engineer,15,Bangalore,Amazon,1300000,Product
Mechanical Engineer,15,Pune,Accenture,1300000,Consulting
Mechanical Engineer,1,Chennai,HCL,1300000,Service
Mechanical Engineer,15,Chennai,Capgemini,1300000,Service
Mechanical Engineer,13,Mumbai,Accenture,1300000,Consulting
Mechanical Engineer,10,Noida,Amazon,1300000,Product
Mechanical Engineer,13,Noida,Startup,1300000,Startup
AI Engineer,0,Noida,Capgemini,1300000,Service
AI Engineer,14,Chennai,Infosys,1300000,Service
AI Engineer,2,Chennai,Google,1300000,Product
AI Engineer,14,Noida,Amazon,1300000,Product
AI Engineer,15,Chennai,Microsoft,1300000,Product
AI Engineer,8,Bangalore,Microsoft,1300000,Product
AI Engineer,8,Delhi,Amazon,1300000,Product
AI Engineer,6,Mumbai,Capgemini,1300000,Service
AI Engineer,1,Noida,HCL,1300000,Service
AI Engineer,7,Gurgaon,TCS,1300000,Service
AI Engineer,12,Noida,Startup,1300000,Startup
AI Engineer,7,Hyderabad,Microsoft,1300000,Product
AI Engineer,9,Hyderabad,IBM,1300000,Product
AI Engineer,13,Noida,Google,1300000,Product
AI Engineer,2,Mumbai,Amazon,1300000,Product
AI Engineer,8,Noida,HCL,1300000,Service
AI Engineer,15,Noida,Google,1300000,Product
AI Engineer,8,Mumbai,HCL,1300000,Service
AI Engineer,14,Delhi,IBM,1300000,Product
AI Engineer,10,Noida,Google,1300000,Product
AI Engineer,2,Noida,TCS,1300000,Service
AI Engineer,8,Gurgaon,Startup,1300000,Startup
AI Engineer,9,Gurgaon,Wipro,1300000,Service
AI Engineer,1,Bangalore,Microsoft,1300000,Product
AI Engineer,10,Chennai,Capgemini,1300000,Service
Marine Engineering,3,Chennai,Capgemini,1300000,Service
Marine Engineering,15,Pune,Capgemini,1300000,Service
Marine Engineering,10,Delhi,Microsoft,1300000,Product
Marine Engineering,15,Gurgaon,Wipro,1300000,Service
Marine Engineering,3,Hyderabad,Capgemini,1300000,Service
Marine Engineering,7,Noida,IBM,1300000,Product
Marine Engineering,5,Chennai,Amazon,1300000,Product
Marine Engineering,10,Mumbai,Infosys,1300000,Service
Marine Engineering,1,Bangalore,Cognizant,1300000,Service
Marine Engineering,11,Mumbai,Startup,1300000,Startup
Marine Engineering,10,Pune,Tech Mahindra,1300000,Service
Marine Engineering,10,Noida,Startup,1300000,Startup
Marine Engineering,6,Delhi,Google,1300000,Product
Marine Engineering,11,Hyderabad,HCL,1300000,Service
Marine Engineering,10,Chennai,Google,1300000,Product
Marine Engineering,1,Gurgaon,Wipro,1300000,Service
Marine Engineering,3,Pune,Amazon,1300000,Product
Marine Engineering,3,Pune,IBM,1300000,Product
Marine Engineering,12,Hyderabad,HCL,1300000,Service
Marine Engineering,0,Hyderabad,Startup,1300000,Startup
Marine Engineering,13,Mumbai,TCS,1300000,Service
Marine Engineering,3,Chennai,Infosys,1300000,Service
Marine Engineering,6,Pune,Wipro,1300000,Service
Marine Engineering,13,Bangalore,Wipro,1300000,Service
Marine Engineering,5,Mumbai,Accenture,1300000,Consulting
Robotics Engineering,11,Gurgaon,Cognizant,1300000,Service
Robotics Engineering,8,Bangalore,L&T,1300000,Intenship
Robotics Engineering,12,Delhi,Wipro,1300000,Service
Robotics Engineering,0,Bangalore,Infosys,1300000,Service
Robotics Engineering,7,Delhi,Amazon,1300000,Product
Robotics Engineering,6,Delhi,Wipro,1300000,Service
Robotics Engineering,9,Pune,Accenture,1300000,Consulting
Robotics Engineering,6,Noida,L&T,1300000,Others
Robotics Engineering,2,Delhi,TCS,1300000,Service
Robotics Engineering,14,Bangalore,Google,1300000,Product
Robotics Engineering,10,Gurgaon,Infosys,1300000,Service
Robotics Engineering,14,Gurgaon,Google,1300000,Product
Robotics Engineering,5,Noida,Tech Mahindra,1300000,Service
Robotics Engineering,11,Noida,HCL,1300000,Service
Robotics Engineering,3,Noida,Wipro,1300000,Service
Robotics Engineering,15,Mumbai,Startup,1300000,Startup
Robotics Engineering,12,Chennai,Google,1300000,Product
Robotics Engineering,8,Delhi,TCS,1300000,Service
Robotics Engineering,9,Noida,Google,1300000,Product
Robotics Engineering,1,Noida,Startup,1300000,Startup
Robotics Engineering,2,Bangalore,Capgemini,1300000,Service
Robotics Engineering,8,Mumbai,Wipro,1300000,Service
Robotics Engineering,2,Noida,L&T,1300000,Intenship
Robotics Engineering,11,Gurgaon,Startup,1300000,Startup
Robotics Engineering,5,Chennai,Google,1300000,Product
Biomedical Engineering,5,Mumbai,Accenture,1300000,Consulting
Biomedical Engineering,5,Gurgaon,HCL,1300000,Service
Biomedical Engineering,13,Pune,Google,1300000,Product
Biomedical Engineering,4,Chennai,Cognizant,1300000,Service
Biomedical Engineering,3,Mumbai,Infosys,1300000,Service
Biomedical Engineering,3,Noida,Amazon,1300000,Product
Biomedical Engineering,2,Chennai,Microsoft,1300000,Product
Biomedical Engineering,1,Noida,Startup,1300000,Startup
Biomedical Engineering,5,Noida,Amazon,1300000,Product
Biomedical Engineering,9,Gurgaon,Wipro,1300000,Service
Biomedical Engineering,6,Mumbai,L&T,1300000,Others
Biomedical Engineering,9,Pune,L&T,1300000,Intenship
Biomedical Engineering,7,Mumbai,Microsoft,1300000,Product
Biomedical Engineering,9,Noida,Wipro,1300000,Service
Biomedical Engineering,14,Bangalore,Microsoft,1300000,Product
